protein1	protein2	combined_score
GENE_0179	GENE_0163	730
GENE_0120	BRCA2	757
GENE_0111	GENE_0085	383
GENE_0162	GENE_0103	944
GENE_0121	GENE_0144	502
FANCD2	RAD51D	234
GENE_0132	GENE_0133	722
GENE_0091	GENE_0176	282
GENE_0164	GENE_0041	817
GENE_0074	GENE_0034	415
GENE_0108	SMAD4	952
GENE_0024	GENE_0068	205
GENE_0163	GENE_0095	895
GENE_0005	GENE_0070	362
GENE_0065	GENE_0180	688
GENE_0028	GENE_0103	427
GENE_0171	PTEN	290
GENE_0131	CDH1	263
GENE_0094	GENE_0068	793
GENE_0087	GENE_0080	325
GENE_0082	GENE_0186	257
CDH1	GENE_0165	520
GENE_0184	GENE_0163	702
GENE_0050	GENE_0139	331
GENE_0080	GENE_0125	470
RET	GENE_0005	801
GENE_0048	GENE_0198	586
GENE_0055	MSH2	487
PTEN	GENE_0053	970
GENE_0048	GENE_0034	544
GENE_0120	GENE_0022	728
GENE_0099	GENE_0046	341
GENE_0092	BRCA1	354
GENE_0172	GENE_0143	702
GENE_0189	GENE_0083	446
GENE_0197	GENE_0132	842
GENE_0092	GENE_0073	205
GENE_0164	GENE_0112	492
GENE_0125	CDH1	939
GENE_0179	GENE_0121	665
GENE_0009	GENE_0036	604
GENE_0005	GENE_0120	613
GENE_0164	GENE_0113	358
GENE_0053	GENE_0054	338
GENE_0039	GENE_0025	286
GENE_0179	EPCAM	940
GENE_0080	GENE_0198	852
GENE_0101	GENE_0087	666
GENE_0038	GENE_0020	660
GENE_0187	GENE_0031	354
GENE_0039	GENE_0197	210
BRCA1	GENE_0126	709
GENE_0072	NF1	902
ATM	GENE_0150	646
GENE_0035	NF1	669
GENE_0104	GENE_0184	208
GENE_0016	GENE_0027	966
GENE_0057	GENE_0067	276
BRCA2	GENE_0006	368
GENE_0003	ATM	679
GENE_0144	GENE_0004	820
GENE_0055	GENE_0022	568
GENE_0038	GENE_0158	717
BRCA2	GENE_0017	716
GENE_0096	GENE_0056	918
VHL	GENE_0003	558
GENE_0169	GENE_0082	763
GENE_0199	GENE_0146	546
RET	BARD1	610
GENE_0107	GENE_0129	955
GENE_0171	GENE_0089	281
GENE_0022	TP53	298
GENE_0170	GENE_0171	698
GENE_0164	RAD51C	160
GENE_0184	GENE_0198	369
GENE_0177	GENE_0198	548
GENE_0155	EPCAM	579
GENE_0034	GENE_0158	233
GENE_0176	GENE_0050	934
GENE_0146	GENE_0198	904
GENE_0156	CHEK2	725
GENE_0195	GENE_0118	571
GENE_0083	GENE_0178	433
GENE_0082	GENE_0187	150
GENE_0130	NF2	278
GENE_0134	NBN	406
GENE_0028	SMAD4	846
GENE_0197	GENE_0169	644
GENE_0138	NF1	153
GENE_0099	BARD1	724
GENE_0096	GENE_0175	332
BARD1	NF1	257
GENE_0170	GENE_0045	405
GENE_0165	BRCA1	766
GENE_0072	GENE_0082	918
GENE_0133	GENE_0151	497
GENE_0029	GENE_0030	707
GENE_0153	GENE_0192	379
GENE_0182	GENE_0141	587
GENE_0010	GENE_0070	831
GENE_0036	GENE_0065	280
GENE_0189	GENE_0114	209
GENE_0000	MSH2	764
GENE_0199	GENE_0104	261
GENE_0071	BRCA2	346
GENE_0107	GENE_0174	608
TP53	GENE_0097	354
GENE_0118	GENE_0156	969
GENE_0082	GENE_0124	371
GENE_0169	GENE_0140	484
GENE_0044	GENE_0173	965
GENE_0117	GENE_0163	804
GENE_0143	GENE_0130	603
GENE_0149	RAD51C	432
NF2	GENE_0133	195
GENE_0080	GENE_0142	466
TSC1	GENE_0095	296
GENE_0040	GENE_0012	640
APC	GENE_0055	610
GENE_0022	GENE_0028	430
GENE_0100	GENE_0072	939
GENE_0089	GENE_0133	603
GENE_0059	GENE_0192	668
GENE_0171	GENE_0180	717
GENE_0170	GENE_0189	854
GENE_0037	GENE_0125	216
APC	GENE_0026	310
GENE_0177	GENE_0006	438
GENE_0041	GENE_0117	471
GENE_0145	GENE_0012	696
GENE_0191	GENE_0132	503
GENE_0132	STK11	220
GENE_0143	GENE_0036	440
GENE_0059	GENE_0007	655
RET	GENE_0055	311
GENE_0006	GENE_0182	414
GENE_0032	GENE_0054	975
GENE_0125	GENE_0094	151
GENE_0104	GENE_0070	316
NBN	GENE_0043	247
ATM	GENE_0175	521
GENE_0022	BARD1	178
GENE_0019	GENE_0062	949
GENE_0177	GENE_0182	501
GENE_0049	TSC1	922
GENE_0150	GENE_0116	822
GENE_0124	GENE_0135	274
GENE_0171	GENE_0090	483
MLH1	RECQL	841
GENE_0199	BRCA1	403
GENE_0086	GENE_0165	654
GENE_0095	GENE_0023	362
GENE_0087	GENE_0007	422
RAD51C	GENE_0022	899
NF1	GENE_0034	567
GENE_0105	GENE_0188	876
GENE_0063	GENE_0123	547
GENE_0185	CHEK2	826
GENE_0164	TSC2	922
GENE_0130	GENE_0134	257
GENE_0126	GENE_0154	527
GENE_0028	GENE_0172	267
GENE_0175	GENE_0149	281
GENE_0165	GENE_0180	958
GENE_0051	GENE_0023	302
RAD51C	GENE_0178	972
GENE_0188	GENE_0141	703
GENE_0009	GENE_0161	900
GENE_0133	GENE_0044	845
GENE_0139	GENE_0133	834
GENE_0197	GENE_0152	809
GENE_0092	GENE_0011	862
GENE_0017	GENE_0075	332
GENE_0110	BRCA1	499
GENE_0078	GENE_0110	428
GENE_0000	GENE_0066	328
GENE_0031	GENE_0176	749
GENE_0110	GENE_0141	693
GENE_0043	GENE_0028	708
GENE_0174	GENE_0152	722
GENE_0067	GENE_0070	702
GENE_0109	GENE_0077	939
GENE_0187	GENE_0086	668
GENE_0193	RECQL	577
GENE_0107	GENE_0087	669
GENE_0192	GENE_0068	696
GENE_0161	GENE_0124	169
GENE_0094	GENE_0182	158
GENE_0080	GENE_0031	509
GENE_0046	RECQL	564
GENE_0033	GENE_0189	417
GENE_0181	GENE_0152	748
GENE_0075	GENE_0079	881
GENE_0098	GENE_0117	230
GENE_0061	GENE_0090	733
BRCA1	GENE_0069	846
GENE_0185	GENE_0197	853
GENE_0129	RAD51C	388
MEN1	NBN	915
GENE_0009	GENE_0093	703
GENE_0027	GENE_0115	627
GENE_0184	EPCAM	432
GENE_0063	GENE_0046	726
GENE_0128	GENE_0060	239
FANCD2	GENE_0182	427
GENE_0001	GENE_0002	529
GENE_0095	VHL	820
GENE_0108	BARD1	642
GENE_0106	GENE_0072	764
GENE_0111	CDH1	220
GENE_0061	GENE_0027	979
GENE_0077	GENE_0168	659
GENE_0043	GENE_0000	627
GENE_0018	GENE_0041	350
GENE_0185	GENE_0010	402
GENE_0199	GENE_0092	902
RET	GENE_0033	784
GENE_0149	FANCA	668
RECQL	GENE_0009	682
GENE_0005	GENE_0017	781
TP53	RAD51D	481
GENE_0102	GENE_0083	415
GENE_0003	GENE_0068	281
GENE_0174	GENE_0063	424
GENE_0095	NBN	349
GENE_0067	GENE_0055	524
GENE_0019	GENE_0034	967
GENE_0029	GENE_0012	737
GENE_0050	GENE_0081	224
GENE_0175	GENE_0122	720
GENE_0129	GENE_0155	230
GENE_0135	GENE_0172	837
GENE_0140	GENE_0121	781
GENE_0096	GENE_0153	361
GENE_0083	GENE_0122	791
GENE_0096	GENE_0044	957
PALB2	GENE_0119	739
GENE_0060	GENE_0115	592
GENE_0169	GENE_0021	451
GENE_0038	GENE_0100	250
PALB2	GENE_0150	377
NF1	GENE_0177	698
GENE_0071	GENE_0020	549
GENE_0097	GENE_0183	809
ATM	GENE_0111	992
GENE_0192	BRCA2	178
RECQL	TSC1	445
GENE_0171	GENE_0056	203
GENE_0069	GENE_0094	501
GENE_0026	PTEN	870
GENE_0129	GENE_0111	472
MEN1	GENE_0090	950
GENE_0069	GENE_0032	465
MUTYH	GENE_0009	354
GENE_0060	GENE_0034	564
GENE_0037	GENE_0136	360
GENE_0111	RECQL	295
GENE_0126	GENE_0076	902
GENE_0018	GENE_0062	190
GENE_0080	GENE_0115	750
GENE_0046	GENE_0023	383
GENE_0013	GENE_0114	665
GENE_0024	GENE_0044	711
GENE_0061	GENE_0096	926
TP53	GENE_0124	589
GENE_0052	GENE_0157	477
GENE_0167	GENE_0041	488
RAD51C	MEN1	524
GENE_0130	VHL	714
GENE_0005	TP53	657
GENE_0149	CHEK2	725
GENE_0034	GENE_0099	346
MUTYH	GENE_0096	424
GENE_0173	MEN1	395
GENE_0068	GENE_0115	832
GENE_0090	GENE_0058	547
GENE_0032	BARD1	787
GENE_0140	GENE_0001	988
GENE_0110	GENE_0199	883
GENE_0046	NF1	255
GENE_0060	GENE_0156	883
GENE_0157	GENE_0088	877
GENE_0095	GENE_0184	648
GENE_0135	GENE_0008	446
GENE_0095	GENE_0075	582
GENE_0152	GENE_0122	716
GENE_0098	GENE_0166	875
GENE_0065	GENE_0131	159
GENE_0186	GENE_0063	808
GENE_0017	GENE_0060	741
GENE_0120	GENE_0052	452
GENE_0038	MSH2	767
GENE_0154	NF1	723
GENE_0126	GENE_0157	556
GENE_0193	GENE_0171	401
GENE_0057	GENE_0012	166
APC	GENE_0118	691
GENE_0034	GENE_0135	361
FANCA	GENE_0123	694
GENE_0032	GENE_0050	667
GENE_0192	ATM	315
GENE_0007	GENE_0193	792
PTEN	GENE_0050	695
GENE_0071	GENE_0185	590
GENE_0073	GENE_0027	731
TSC2	MSH2	588
GENE_0044	GENE_0161	209
GENE_0086	GENE_0021	377
GENE_0179	GENE_0104	677
GENE_0189	GENE_0006	637
GENE_0122	GENE_0157	759
GENE_0003	GENE_0125	673
GENE_0111	GENE_0143	449
STK11	GENE_0133	998
GENE_0001	GENE_0104	163
GENE_0083	GENE_0134	321
GENE_0111	NF1	900
GENE_0088	GENE_0167	659
GENE_0193	TSC1	353
GENE_0108	GENE_0072	488
GENE_0123	GENE_0057	326
GENE_0166	GENE_0025	918
GENE_0014	NF1	844
STK11	GENE_0079	877
GENE_0125	GENE_0091	781
GENE_0191	GENE_0060	487
GENE_0195	BRIP1	222
GENE_0029	FANCA	305
GENE_0095	PALB2	448
GENE_0171	GENE_0156	755
GENE_0073	GENE_0154	273
GENE_0130	GENE_0072	973
GENE_0141	GENE_0018	266
GENE_0085	GENE_0097	450
GENE_0060	GENE_0096	813
BRCA1	GENE_0190	954
BARD1	GENE_0062	441
NBN	GENE_0066	983
GENE_0029	GENE_0098	580
GENE_0005	GENE_0150	524
FANCA	GENE_0091	985
STK11	GENE_0160	344
GENE_0058	GENE_0045	170
GENE_0070	GENE_0057	833
GENE_0048	GENE_0162	170
GENE_0188	GENE_0047	235
GENE_0195	GENE_0150	418
GENE_0090	GENE_0031	919
GENE_0157	GENE_0108	968
BARD1	RECQL	672
GENE_0072	GENE_0008	457
GENE_0148	GENE_0001	568
GENE_0144	GENE_0175	410
GENE_0002	GENE_0030	439
GENE_0198	FANCD2	731
GENE_0132	GENE_0001	817
GENE_0033	GENE_0021	577
TP53	GENE_0028	487
BRIP1	GENE_0001	457
GENE_0000	GENE_0194	285
GENE_0000	GENE_0048	451
GENE_0155	GENE_0082	270
GENE_0172	GENE_0009	683
GENE_0095	GENE_0146	319
GENE_0078	GENE_0053	738
APC	GENE_0104	478
GENE_0040	GENE_0013	893
GENE_0127	GENE_0018	253
GENE_0100	GENE_0156	223
GENE_0161	GENE_0154	328
GENE_0055	GENE_0048	970
GENE_0163	GENE_0173	474
NBN	GENE_0131	964
GENE_0039	GENE_0056	671
GENE_0011	GENE_0123	160
GENE_0114	GENE_0186	913
GENE_0038	GENE_0183	696
GENE_0067	GENE_0100	342
GENE_0066	GENE_0029	281
GENE_0028	GENE_0181	258
GENE_0138	RAD51C	196
TSC1	GENE_0035	426
GENE_0073	GENE_0040	558
GENE_0127	NF1	502
GENE_0152	GENE_0061	994
GENE_0093	BRCA2	461
GENE_0040	GENE_0069	337
GENE_0028	GENE_0069	571
GENE_0197	GENE_0113	268
GENE_0010	GENE_0003	189
GENE_0090	FANCD2	790
GENE_0120	GENE_0170	421
GENE_0114	GENE_0151	373
GENE_0036	GENE_0137	761
GENE_0030	GENE_0147	713
GENE_0195	GENE_0186	360
GENE_0150	GENE_0003	675
GENE_0101	GENE_0097	945
GENE_0019	GENE_0050	422
MLH1	BRIP1	679
PTEN	GENE_0019	545
GENE_0006	GENE_0141	592
GENE_0051	GENE_0196	927
GENE_0173	GENE_0139	293
GENE_0197	GENE_0102	242
GENE_0089	GENE_0028	939
GENE_0052	GENE_0079	959
FANCD2	GENE_0014	535
GENE_0040	GENE_0132	925
GENE_0154	GENE_0089	390
GENE_0142	GENE_0190	429
GENE_0087	GENE_0103	896
GENE_0012	GENE_0051	545
GENE_0181	MUTYH	872
GENE_0199	GENE_0070	964
GENE_0143	GENE_0049	435
GENE_0093	GENE_0018	542
GENE_0063	GENE_0185	254
GENE_0107	GENE_0142	684
GENE_0151	NF2	650
GENE_0154	GENE_0130	938
GENE_0112	GENE_0170	927
GENE_0181	GENE_0144	772
GENE_0153	GENE_0194	442
GENE_0027	GENE_0091	500
GENE_0166	GENE_0037	698
GENE_0016	GENE_0070	509
GENE_0190	GENE_0092	472
VHL	GENE_0198	571
GENE_0189	NBN	657
GENE_0054	GENE_0122	957
GENE_0174	GENE_0165	714
GENE_0098	GENE_0113	178
GENE_0171	GENE_0106	541
FANCA	GENE_0175	250
GENE_0070	GENE_0037	904
GENE_0070	GENE_0066	884
GENE_0023	GENE_0004	529
GENE_0031	GENE_0181	484
GENE_0065	GENE_0108	364
FANCD2	GENE_0001	701
MLH1	GENE_0024	808
GENE_0163	GENE_0082	623
GENE_0021	GENE_0045	924
GENE_0171	GENE_0072	770
CDH1	RET	523
BARD1	GENE_0098	883
GENE_0063	GENE_0183	988
GENE_0141	GENE_0014	240
GENE_0180	GENE_0059	492
GENE_0097	BRCA1	637
GENE_0190	GENE_0114	716
GENE_0062	GENE_0149	411
GENE_0193	GENE_0108	501
GENE_0173	GENE_0030	239
GENE_0036	GENE_0163	394
GENE_0171	GENE_0088	791
GENE_0192	GENE_0024	647
GENE_0136	TSC2	963
GENE_0098	TSC2	947
GENE_0149	GENE_0172	895
GENE_0115	GENE_0002	517
GENE_0114	BRIP1	961
GENE_0102	GENE_0048	473
GENE_0125	GENE_0035	978
GENE_0007	GENE_0055	396
GENE_0143	GENE_0024	226
GENE_0094	GENE_0022	959
GENE_0128	GENE_0076	435
GENE_0016	GENE_0042	744
GENE_0040	GENE_0016	352
GENE_0013	GENE_0131	834
GENE_0184	GENE_0017	160
GENE_0026	GENE_0151	361
GENE_0090	VHL	489
GENE_0198	GENE_0058	169
GENE_0076	GENE_0193	749
GENE_0089	GENE_0099	360
GENE_0139	SMAD4	573
GENE_0144	GENE_0130	724
GENE_0048	GENE_0163	589
GENE_0146	FANCD2	725
ATM	GENE_0110	868
GENE_0017	GENE_0070	768
GENE_0072	RAD51C	365
GENE_0117	GENE_0196	385
GENE_0011	GENE_0052	917
GENE_0178	GENE_0013	347
GENE_0037	GENE_0198	791
GENE_0113	GENE_0065	166
GENE_0172	GENE_0086	247
GENE_0096	GENE_0087	749
GENE_0107	GENE_0126	999
GENE_0127	GENE_0033	250
GENE_0158	GENE_0182	688
GENE_0029	GENE_0008	409
GENE_0160	GENE_0007	160
GENE_0186	GENE_0049	786
GENE_0153	GENE_0116	851
GENE_0047	PALB2	800
GENE_0081	GENE_0047	611
GENE_0039	GENE_0071	718
GENE_0181	GENE_0103	414
GENE_0152	GENE_0050	640
GENE_0145	GENE_0073	260
GENE_0106	GENE_0140	961
BARD1	GENE_0089	596
GENE_0197	GENE_0081	370
CHEK2	TSC2	833
GENE_0161	GENE_0064	590
GENE_0140	GENE_0070	612
GENE_0042	GENE_0101	512
GENE_0179	GENE_0092	520
GENE_0120	GENE_0129	646
GENE_0038	GENE_0168	168
MEN1	GENE_0197	439
GENE_0026	GENE_0015	397
CDH1	GENE_0185	214
GENE_0146	GENE_0123	754
APC	GENE_0072	656
GENE_0196	GENE_0066	274
GENE_0100	GENE_0001	644
GENE_0009	GENE_0171	473
GENE_0191	GENE_0129	222
GENE_0030	GENE_0122	283
GENE_0042	GENE_0116	326
GENE_0110	FANCD2	279
GENE_0079	GENE_0118	723
GENE_0032	GENE_0122	260
GENE_0067	GENE_0097	832
GENE_0062	BRIP1	823
TP53	GENE_0063	343
GENE_0064	GENE_0156	767
GENE_0005	GENE_0151	333
GENE_0154	GENE_0151	180
GENE_0101	GENE_0128	440
GENE_0127	MEN1	337
GENE_0046	GENE_0083	679
CDH1	GENE_0167	517
GENE_0093	GENE_0165	639
GENE_0021	GENE_0085	643
GENE_0063	GENE_0001	719
GENE_0015	GENE_0155	199
GENE_0037	GENE_0135	248
GENE_0106	GENE_0144	323
STK11	GENE_0196	752
CDH1	GENE_0172	286
GENE_0052	GENE_0004	899
GENE_0145	GENE_0142	919
GENE_0032	GENE_0052	382
GENE_0068	EPCAM	153
GENE_0077	GENE_0128	882
GENE_0089	GENE_0157	373
GENE_0104	GENE_0084	575
GENE_0000	BRCA2	997
GENE_0009	GENE_0191	591
GENE_0125	GENE_0155	943
GENE_0169	GENE_0148	274
GENE_0096	GENE_0198	888
GENE_0038	GENE_0000	590
GENE_0102	GENE_0096	972
GENE_0009	GENE_0098	333
GENE_0005	GENE_0033	893
BRIP1	GENE_0146	429
GENE_0052	CHEK2	772
GENE_0125	GENE_0113	232
GENE_0017	GENE_0199	425
GENE_0029	GENE_0067	188
GENE_0177	GENE_0193	614
PALB2	GENE_0092	997
GENE_0038	GENE_0072	400
GENE_0027	RAD51C	907
GENE_0167	GENE_0131	497
GENE_0117	GENE_0111	885
ATM	GENE_0002	356
GENE_0016	EPCAM	814
RECQL	GENE_0181	955
GENE_0179	GENE_0020	612
GENE_0010	GENE_0029	310
GENE_0127	GENE_0078	831
CDH1	GENE_0123	153
GENE_0180	GENE_0196	824
GENE_0067	GENE_0046	506
RECQL	GENE_0144	240
GENE_0038	GENE_0021	795
GENE_0101	GENE_0157	510
GENE_0078	GENE_0144	543
GENE_0195	GENE_0064	963
GENE_0005	GENE_0146	907
GENE_0042	GENE_0105	612
BARD1	GENE_0026	527
GENE_0125	GENE_0195	973
GENE_0020	GENE_0104	840
RAD51D	GENE_0075	216
GENE_0157	GENE_0102	983
GENE_0000	RECQL	413
GENE_0141	MEN1	959
GENE_0090	GENE_0001	481
GENE_0048	GENE_0128	924
GENE_0088	GENE_0043	914
GENE_0039	GENE_0010	498
GENE_0161	GENE_0147	481
GENE_0017	GENE_0198	937
GENE_0142	GENE_0099	570
BRCA1	GENE_0095	847
GENE_0136	GENE_0078	281
GENE_0142	GENE_0019	869
GENE_0183	GENE_0127	408
GENE_0124	GENE_0127	280
GENE_0116	FANCA	464
GENE_0036	GENE_0175	622
GENE_0086	GENE_0099	254
CDH1	GENE_0027	303
GENE_0051	GENE_0139	448
GENE_0113	GENE_0086	867
GENE_0030	GENE_0110	272
GENE_0093	GENE_0036	447
GENE_0194	GENE_0087	196
GENE_0041	GENE_0084	886
TP53	GENE_0085	797
GENE_0083	GENE_0075	225
NF2	GENE_0147	778
GENE_0053	GENE_0100	448
GENE_0105	GENE_0100	307
GENE_0035	GENE_0198	315
GENE_0138	GENE_0080	603
TSC2	RECQL	626
GENE_0075	GENE_0068	505
GENE_0197	GENE_0187	651
GENE_0186	GENE_0170	569
GENE_0098	GENE_0161	815
GENE_0160	MSH2	911
GENE_0074	GENE_0176	744
GENE_0173	GENE_0150	926
GENE_0115	GENE_0118	650
GENE_0194	GENE_0010	878
GENE_0150	GENE_0030	915
GENE_0099	GENE_0071	730
GENE_0059	GENE_0015	780
GENE_0071	GENE_0102	896
GENE_0088	GENE_0005	164
GENE_0114	GENE_0196	818
GENE_0052	GENE_0033	676
GENE_0060	GENE_0038	707
GENE_0016	GENE_0150	720
GENE_0168	GENE_0157	579
GENE_0040	GENE_0108	563
GENE_0191	BRCA2	216
EPCAM	GENE_0073	526
GENE_0106	GENE_0048	703
TP53	GENE_0026	394
GENE_0147	GENE_0077	889
GENE_0165	GENE_0169	916
GENE_0050	GENE_0027	558
GENE_0172	GENE_0189	902
GENE_0076	GENE_0174	971
GENE_0041	GENE_0053	886
GENE_0092	RAD51D	676
GENE_0078	GENE_0189	312
GENE_0004	GENE_0059	197
GENE_0063	GENE_0153	163
GENE_0007	GENE_0050	817
APC	GENE_0142	743
GENE_0144	GENE_0021	671
GENE_0071	GENE_0168	477
MEN1	GENE_0003	324
SMAD4	GENE_0146	694
GENE_0110	NBN	598
APC	GENE_0116	323
GENE_0164	GENE_0167	309
GENE_0030	GENE_0070	396
BARD1	GENE_0075	434
RECQL	GENE_0194	170
GENE_0149	GENE_0026	818
GENE_0041	GENE_0154	799
GENE_0043	GENE_0083	167
GENE_0148	GENE_0047	537
GENE_0188	GENE_0095	746
GENE_0174	GENE_0140	724
GENE_0016	GENE_0129	458
GENE_0172	EPCAM	966
FANCA	GENE_0197	473
BARD1	GENE_0162	992
GENE_0050	GENE_0197	788
GENE_0172	GENE_0039	390
GENE_0028	GENE_0019	189
GENE_0067	GENE_0032	690
GENE_0009	MLH1	740
GENE_0077	GENE_0185	270
GENE_0161	GENE_0086	853
GENE_0003	GENE_0017	291
GENE_0064	GENE_0070	742
GENE_0041	GENE_0086	909
GENE_0199	GENE_0160	328
GENE_0197	GENE_0066	943
GENE_0037	GENE_0197	624
GENE_0124	GENE_0080	484
GENE_0139	GENE_0071	312
GENE_0085	GENE_0002	814
BRCA2	GENE_0084	658
GENE_0071	GENE_0012	756
GENE_0199	GENE_0117	447
GENE_0173	GENE_0175	930
GENE_0008	GENE_0151	167
GENE_0185	GENE_0057	451
GENE_0132	GENE_0097	888
GENE_0002	GENE_0040	661
GENE_0101	GENE_0029	670
GENE_0153	GENE_0145	211
GENE_0179	GENE_0157	498
GENE_0036	GENE_0013	729
GENE_0006	NF1	895
GENE_0166	GENE_0163	863
GENE_0088	GENE_0134	343
GENE_0146	GENE_0169	713
GENE_0029	GENE_0168	938
GENE_0080	GENE_0192	443
GENE_0111	MLH1	238
GENE_0050	GENE_0191	171
GENE_0148	GENE_0153	685
GENE_0153	GENE_0054	784
GENE_0033	GENE_0029	919
GENE_0063	GENE_0017	509
GENE_0057	GENE_0124	787
GENE_0103	GENE_0032	965
GENE_0154	GENE_0049	230
GENE_0155	GENE_0067	380
GENE_0068	GENE_0164	182
GENE_0107	GENE_0185	343
GENE_0194	GENE_0085	443
GENE_0037	GENE_0189	188
GENE_0149	GENE_0072	581
GENE_0186	GENE_0052	556
GENE_0028	GENE_0072	759
GENE_0029	GENE_0166	407
GENE_0193	GENE_0001	799
GENE_0069	GENE_0056	370
GENE_0019	GENE_0138	173
GENE_0104	GENE_0013	803
GENE_0027	MEN1	475
GENE_0087	GENE_0026	364
GENE_0176	GENE_0143	322
GENE_0193	GENE_0104	609
RECQL	GENE_0059	235
GENE_0118	GENE_0016	335
GENE_0189	GENE_0071	245
GENE_0136	GENE_0145	860
GENE_0179	GENE_0082	732
GENE_0089	GENE_0092	666
GENE_0085	GENE_0059	832
GENE_0052	GENE_0034	485
GENE_0131	RAD51D	817
GENE_0079	MUTYH	668
GENE_0107	GENE_0061	937
RECQL	GENE_0027	494
RET	GENE_0142	647
GENE_0156	BARD1	182
GENE_0075	GENE_0000	351
RET	GENE_0052	716
GENE_0182	GENE_0046	211
NF2	GENE_0164	271
PTEN	BRCA2	864
GENE_0154	GENE_0197	458
GENE_0051	GENE_0118	962
GENE_0158	GENE_0153	472
GENE_0099	GENE_0090	740
GENE_0015	GENE_0176	156
GENE_0025	GENE_0134	569
GENE_0068	STK11	961
GENE_0156	MLH1	279
GENE_0196	GENE_0046	328
GENE_0143	GENE_0112	648
GENE_0189	GENE_0174	904
GENE_0114	GENE_0005	602
GENE_0190	PTEN	362
GENE_0156	GENE_0162	519
GENE_0110	TSC1	845
GENE_0174	GENE_0041	279
GENE_0130	GENE_0139	836
GENE_0004	GENE_0104	997
GENE_0132	GENE_0110	734
GENE_0149	GENE_0110	298
GENE_0016	GENE_0191	917
GENE_0042	GENE_0175	896
GENE_0183	GENE_0053	854
BRIP1	GENE_0023	776
GENE_0077	GENE_0158	497
GENE_0168	GENE_0115	467
GENE_0003	APC	443
GENE_0174	GENE_0082	930
GENE_0144	GENE_0068	337
GENE_0028	GENE_0056	580
GENE_0064	GENE_0190	905
GENE_0198	GENE_0000	675
GENE_0090	GENE_0087	509
GENE_0068	GENE_0098	494
NBN	BRCA2	997
GENE_0090	GENE_0173	422
GENE_0173	MLH1	300
GENE_0063	GENE_0010	534
APC	GENE_0195	397
CDH1	GENE_0180	586
GENE_0061	GENE_0081	187
GENE_0120	FANCA	587
GENE_0099	GENE_0129	702
GENE_0135	GENE_0131	968
GENE_0041	GENE_0187	802
GENE_0144	EPCAM	517
GENE_0131	GENE_0110	959
BARD1	GENE_0161	764
GENE_0159	GENE_0127	913
GENE_0138	MSH2	921
GENE_0098	GENE_0165	878
GENE_0195	GENE_0092	902
GENE_0143	GENE_0056	944
GENE_0100	BRCA2	378
GENE_0184	GENE_0122	797
GENE_0032	GENE_0188	856
EPCAM	GENE_0163	908
GENE_0097	GENE_0051	238
GENE_0172	GENE_0144	948
GENE_0112	BRCA2	867
GENE_0148	GENE_0016	768
GENE_0000	GENE_0016	460
GENE_0014	GENE_0013	738
GENE_0149	GENE_0105	510
GENE_0132	GENE_0150	500
